sujeto,endpoint,objeto,real,esperado,conforme,nota
sub_B,GET /tlactivity/pmc/<id>,inexistente,200,200|404,SÍ,
technical,GET /tlactivity/pmc/<id>,propio,200,200,SÍ,
technical,GET /tlactivity/pmc/<id>,ajeno,200,200 vacío,NO,FUGA: la lista trae datos ajenos (no vacía)
technical,GET /tlactivity/pmc/<id>,inexistente,200,200|404,SÍ,
tech_de_sub_B,GET /tlactivity/pmc/<id>,propio,200,200,SÍ,
tech_de_sub_B,GET /tlactivity/pmc/<id>,ajeno,200,200 vacío,NO,FUGA: la lista trae datos ajenos (no vacía)
tech_de_sub_B,GET /tlactivity/pmc/<id>,inexistente,200,200|404,SÍ,
tech_independiente,GET /tlactivity/pmc/<id>,ajeno,200,200 vacío,NO,FUGA: la lista trae datos ajenos (no vacía)
tech_independiente,GET /tlactivity/pmc/<id>,inexistente,200,200|404,SÍ,
anonimo,GET /jobs/<id>,ajeno,401,401,SÍ,
anonimo,GET /jobs/<id>,inexistente,401,401,SÍ,
full_admin,GET /jobs/<id>,ajeno,200,200|404,SÍ,
full_admin,GET /jobs/<id>,inexistente,404,200|404,SÍ,
gqm_member,GET /jobs/<id>,ajeno,200,200|404,SÍ,
gqm_member,GET /jobs/<id>,inexistente,404,200|404,SÍ,
subcontractor,GET /jobs/<id>,propio,200,200,SÍ,
subcontractor,GET /jobs/<id>,ajeno,404,404,SÍ,
subcontractor,GET /jobs/<id>,inexistente,404,404,SÍ,
sub_B,GET /jobs/<id>,propio,200,200,SÍ,
sub_B,GET /jobs/<id>,ajeno,404,404,SÍ,
sub_B,GET /jobs/<id>,inexistente,404,404,SÍ,
technical,GET /jobs/<id>,propio,200,200,SÍ,
technical,GET /jobs/<id>,ajeno,404,404,SÍ,
technical,GET /jobs/<id>,inexistente,404,404,SÍ,
tech_de_sub_B,GET /jobs/<id>,propio,200,200,SÍ,
tech_de_sub_B,GET /jobs/<id>,ajeno,404,404,SÍ,
tech_de_sub_B,GET /jobs/<id>,inexistente,404,404,SÍ,
tech_independiente,GET /jobs/<id>,ajeno,404,404,SÍ,
tech_independiente,GET /jobs/<id>,inexistente,404,404,SÍ,
anonimo,GET /tasks/<id>,ajeno,401,401,SÍ,
anonimo,GET /tasks/<id>,inexistente,401,401,SÍ,
full_admin,GET /tasks/<id>,ajeno,200,200|404,SÍ,
full_admin,GET /tasks/<id>,inexistente,404,200|404,SÍ,
gqm_member,GET /tasks/<id>,ajeno,200,200|404,SÍ,
gqm_member,GET /tasks/<id>,inexistente,404,200|404,SÍ,
subcontractor,GET /tasks/<id>,propio,200,200,SÍ,
subcontractor,GET /tasks/<id>,ajeno,404,404,SÍ,
subcontractor,GET /tasks/<id>,inexistente,404,404,SÍ,
sub_B,GET /tasks/<id>,propio,200,200,SÍ,
sub_B,GET /tasks/<id>,ajeno,404,404,SÍ,
sub_B,GET /tasks/<id>,inexistente,404,404,SÍ,
technical,GET /tasks/<id>,propio,200,200,SÍ,
technical,GET /tasks/<id>,ajeno,404,404,SÍ,
technical,GET /tasks/<id>,inexistente,404,404,SÍ,
tech_de_sub_B,GET /tasks/<id>,propio,200,200,SÍ,
tech_de_sub_B,GET /tasks/<id>,ajeno,404,404,SÍ,
tech_de_sub_B,GET /tasks/<id>,inexistente,404,404,SÍ,
tech_independiente,GET /tasks/<id>,ajeno,404,404,SÍ,
tech_independiente,GET /tasks/<id>,inexistente,404,404,SÍ,
anonimo,GET /chat/job/<id>,ajeno,401,401,SÍ,
anonimo,GET /chat/job/<id>,inexistente,401,401,SÍ,
full_admin,GET /chat/job/<id>,ajeno,200,200|404,SÍ,
full_admin,GET /chat/job/<id>,inexistente,200,200|404,SÍ,
gqm_member,GET /chat/job/<id>,ajeno,200,200|404,SÍ,
gqm_member,GET /chat/job/<id>,inexistente,200,200|404,SÍ,
subcontractor,GET /chat/job/<id>,propio,200,200,SÍ,
subcontractor,GET /chat/job/<id>,ajeno,404,404,SÍ,
subcontractor,GET /chat/job/<id>,inexistente,404,404,SÍ,
sub_B,GET /chat/job/<id>,propio,200,200,SÍ,
sub_B,GET /chat/job/<id>,ajeno,404,404,SÍ,
sub_B,GET /chat/job/<id>,inexistente,404,404,SÍ,
technical,GET /chat/job/<id>,propio,403,403,SÍ,
technical,GET /chat/job/<id>,ajeno,403,403,SÍ,
technical,GET /chat/job/<id>,inexistente,403,403,SÍ,
tech_de_sub_B,GET /chat/job/<id>,propio,403,403,SÍ,
tech_de_sub_B,GET /chat/job/<id>,ajeno,403,403,SÍ,
tech_de_sub_B,GET /chat/job/<id>,inexistente,403,403,SÍ,
tech_independiente,GET /chat/job/<id>,ajeno,403,403,SÍ,
tech_independiente,GET /chat/job/<id>,inexistente,403,403,SÍ,
anonimo,GET /jobs/subcontractor/<id>,ajeno,401,401,SÍ,
anonimo,GET /jobs/subcontractor/<id>,inexistente,401,401,SÍ,
full_admin,GET /jobs/subcontractor/<id>,ajeno,200,200|403|404,SÍ,
full_admin,GET /jobs/subcontractor/<id>,inexistente,200,200|403|404,SÍ,
gqm_member,GET /jobs/subcontractor/<id>,ajeno,200,200|403|404,SÍ,
gqm_member,GET /jobs/subcontractor/<id>,inexistente,200,200|403|404,SÍ,
subcontractor,GET /jobs/subcontractor/<id>,propio,200,200,SÍ,
subcontractor,GET /jobs/subcontractor/<id>,ajeno,403,403,SÍ,
subcontractor,GET /jobs/subcontractor/<id>,inexistente,403,403,SÍ,
sub_B,GET /jobs/subcontractor/<id>,propio,200,200,SÍ,
sub_B,GET /jobs/subcontractor/<id>,ajeno,403,403,SÍ,
sub_B,GET /jobs/subcontractor/<id>,inexistente,403,403,SÍ,
technical,GET /jobs/subcontractor/<id>,propio,403,403,SÍ,
technical,GET /jobs/subcontractor/<id>,ajeno,403,403,SÍ,
technical,GET /jobs/subcontractor/<id>,inexistente,403,403,SÍ,
tech_de_sub_B,GET /jobs/subcontractor/<id>,propio,403,403,SÍ,
tech_de_sub_B,GET /jobs/subcontractor/<id>,ajeno,403,403,SÍ,
tech_de_sub_B,GET /jobs/subcontractor/<id>,inexistente,403,403,SÍ,
tech_independiente,GET /jobs/subcontractor/<id>,ajeno,403,403,SÍ,
tech_independiente,GET /jobs/subcontractor/<id>,inexistente,403,403,SÍ,
anonimo,GET /commission/member/<id>,n/a,401,401,SÍ,
full_admin,GET /commission/member/<id>,n/a,200,200|403|404,SÍ,
gqm_member,GET /commission/member/<id>,n/a,403,200|403|404,SÍ,
subcontractor,GET /commission/member/<id>,n/a,403,403,SÍ,
sub_B,GET /commission/member/<id>,n/a,403,403,SÍ,
technical,GET /commission/member/<id>,n/a,403,403,SÍ,
tech_de_sub_B,GET /commission/member/<id>,n/a,403,403,SÍ,
tech_independiente,GET /commission/member/<id>,n/a,403,403,SÍ,
anonimo,GET /member/<id>,n/a,401,401,SÍ,
full_admin,GET /member/<id>,n/a,200,200|403|404,SÍ,
gqm_member,GET /member/<id>,n/a,403,200|403|404,SÍ,
subcontractor,GET /member/<id>,n/a,403,403,SÍ,
sub_B,GET /member/<id>,n/a,403,403,SÍ,
technical,GET /member/<id>,n/a,403,403,SÍ,
tech_de_sub_B,GET /member/<id>,n/a,403,403,SÍ,
tech_independiente,GET /member/<id>,n/a,403,403,SÍ,
anonimo,GET /podio/items/<app_type>,n/a,401,n/d,n/d,NO AUDITABLE en este entorno: exige credenciales de Podio
full_admin,GET /podio/items/<app_type>,n/a,500,n/d,n/d,NO AUDITABLE en este entorno: exige credenciales de Podio
gqm_member,GET /podio/items/<app_type>,n/a,500,n/d,n/d,NO AUDITABLE en este entorno: exige credenciales de Podio
subcontractor,GET /podio/items/<app_type>,n/a,500,n/d,n/d,NO AUDITABLE en este entorno: exige credenciales de Podio
sub_B,GET /podio/items/<app_type>,n/a,500,n/d,n/d,NO AUDITABLE en este entorno: exige credenciales de Podio
technical,GET /podio/items/<app_type>,n/a,500,n/d,n/d,NO AUDITABLE en este entorno: exige credenciales de Podio
tech_de_sub_B,GET /podio/items/<app_type>,n/a,500,n/d,n/d,NO AUDITABLE en este entorno: exige credenciales de Podio
tech_independiente,GET /podio/items/<app_type>,n/a,500,n/d,n/d,NO AUDITABLE en este entorno: exige credenciales de Podio
subcontractor,GET /tasks/,enumeración,200,200|404,SÍ,"devuelve ['TSK60001', 'TSK60002', 'TSK60018']"
sub_B,GET /tasks/,enumeración,200,200|404,SÍ,devuelve ['TSK60003']
technical,GET /tasks/,enumeración,200,200|404,SÍ,"devuelve ['TSK60001', 'TSK60018']"
